id,started,ended,realTime,Bomb Clip (1),Womps (6),CCM (8),DW (Bowser),SSL (11),LLL (12),HMC (15),MIPS,DDD (16),FS (Bowser),BLJS,BITS (Bowser)
116,2025-03-13 04:53:57,2025-03-13 05:14:22,00:20:25.5407526,00:01:41.1797749,00:03:34.5287943,00:01:29.5856207,00:02:44.0376998,00:01:33.2530150,00:00:35.1358153,00:01:27.0256981,00:01:02.4060101,00:00:47.5270041,00:01:50.4188199,00:01:06.1120709,00:02:34.3304295
117,2025-03-13 05:17:48,2025-03-13 05:37:27,,00:01:39.1568416,00:03:31.0875299,00:01:27.5278011,00:02:25.7598770,00:01:36.2086405,00:00:33.7919520,00:01:24.9446748,00:01:23.8466420,00:00:51.6263624,00:03:27.2699328,,
118,2025-03-13 05:37:37,2025-03-13 05:38:25,,,,,,,,,,,,,
119,2025-03-13 05:43:32,2025-03-13 05:51:42,,00:01:54.6770126,00:03:44.1101228,00:01:27.9337231,,,,,,,,,
120,2025-03-13 05:51:43,2025-03-13 05:53:01,,,,,,,,,,,,,
121,2025-03-13 05:53:03,2025-03-13 06:13:42,,00:01:39.0857923,00:03:20.2167300,00:01:29.7279350,00:02:47.9005875,00:01:57.6756939,00:00:34.9429104,00:01:33.2878268,00:01:05.8577666,00:01:05.0289237,00:01:42.8507717,00:02:14.4367979,
122,2025-03-13 06:13:44,2025-03-13 06:15:24,,,,,,,,,,,,,
123,2025-03-13 06:15:51,2025-03-13 06:16:53,,,,,,,,,,,,,
124,2025-03-13 06:16:56,2025-03-13 06:17:59,,,,,,,,,,,,,
125,2025-03-13 06:18:01,2025-03-13 06:19:03,,,,,,,,,,,,,
126,2025-03-13 06:19:05,2025-03-13 06:27:28,,00:01:38.0788271,00:03:49.4227524,00:01:27.6236665,,,,,,,,,
127,2025-03-13 06:27:30,2025-03-13 06:28:48,,,,,,,,,,,,,
128,2025-03-13 06:28:49,2025-03-13 06:30:32,,,,,,,,,,,,,
129,2025-03-13 06:30:34,2025-03-13 06:31:52,,,,,,,,,,,,,
130,2025-03-13 06:31:53,2025-03-13 06:33:10,,,,,,,,,,,,,
131,2025-03-13 06:33:12,2025-03-13 06:53:35,,00:01:48.3566655,00:03:33.8447614,00:01:30.7519246,00:02:31.4750446,00:02:03.6234299,00:00:35.5779130,00:01:23.6018832,00:01:14.2678055,00:01:04.2758777,00:01:56.8864639,00:02:22.0950236,
132,2025-03-13 06:53:37,2025-03-13 06:59:53,,00:01:40.1845474,00:03:52.1391169,,,,,,,,,,
133,2025-03-13 06:59:55,2025-03-13 07:01:40,,,,,,,,,,,,,
134,2025-03-13 07:01:43,2025-03-13 07:22:12,,00:01:46.2930209,00:03:41.0764063,00:01:29.1561989,00:02:17.6685119,00:02:03.2927537,00:00:35.3349348,00:02:03.6967239,00:01:15.4188157,00:00:59.4580162,00:03:18.6435917,,
135,2025-03-14 22:32:26,2025-03-14 22:34:10,,,,,,,,,,,,,
136,2025-03-14 22:34:12,2025-03-14 22:44:37,,00:02:03.6076472,00:03:37.6245991,00:01:39.5316585,,,,,,,,,
137,2025-03-14 22:45:15,2025-03-14 23:03:55,,00:01:59.6859387,00:03:24.5256774,00:01:28.3627816,00:02:26.1248681,00:01:36.5446894,00:00:34.2849400,00:01:20.9669718,00:01:21.2067289,00:00:54.4979365,,,
138,2025-03-14 23:03:58,2025-03-14 23:05:03,,,,,,,,,,,,,
139,2025-03-14 23:05:05,2025-03-14 23:06:09,,,,,,,,,,,,,
140,2025-03-14 23:06:11,2025-03-14 23:14:58,,00:01:49.6760370,00:03:37.2838759,00:02:10.5203484,,,,,,,,,
141,2025-03-15 04:00:48,2025-03-15 04:01:52,,,,,,,,,,,,,
142,2025-03-15 04:01:54,2025-03-15 04:18:48,,00:01:37.9207505,00:03:33.3505660,00:01:27.3831951,00:02:33.5153893,00:02:26.4025208,00:00:35.2868813,00:01:39.7180630,00:00:58.3517542,00:00:54.1408906,,,
143,2025-03-15 04:18:51,2025-03-15 04:39:58,,00:02:00.8288726,00:03:24.0614875,00:01:49.8087747,00:02:15.8056402,00:01:51.3358905,00:00:33.4705796,00:01:25.4485698,00:01:12.3939458,00:01:01.6481517,00:01:38.6365670,00:01:10.0439993,
144,2025-03-15 04:40:01,2025-03-15 04:41:40,,,,,,,,,,,,,
145,2025-03-15 04:41:43,2025-03-15 04:42:47,,,,,,,,,,,,,
146,2025-03-15 04:42:49,2025-03-15 04:51:33,,00:01:48.3487466,00:03:41.1486647,00:01:32.9357294,,,,,,,,,
147,2025-03-15 04:51:38,2025-03-15 04:54:32,,00:01:52.4967895,,,,,,,,,,,
148,2025-03-15 04:54:35,2025-03-15 04:55:40,,,,,,,,,,,,,
