id,started,ended,realTime,BOB (1),WF (6),CCM (8),DW (Bowser),SSL (11),LLL (12),HMC (15),MIPS Clip,DDD (16),FS (Bowser),BLJs,BitS (Bowser)
217,2025-01-03 03:17:28,2025-01-03 03:18:30,,,,,,,,,,,,,
218,2025-01-03 03:18:30,2025-01-03 03:27:07,,00:02:04.3593259,00:03:46.5622738,00:01:28.4141655,,,,,,,,,
219,2025-01-03 03:27:07,2025-01-03 03:31:01,,,,,,,,,,,,,
220,2025-01-03 03:31:01,2025-01-03 03:35:06,,00:01:48.8873755,,,,,,,,,,,
221,2025-01-03 03:35:06,2025-01-03 03:56:57,00:21:52.6641544,00:01:38.3735509,00:03:33.3799225,00:01:36.0979549,00:03:16.0372605,00:01:58.7674828,00:00:41.9491276,00:01:19.7821874,00:00:44.7792283,00:00:54.4388259,00:02:03.5110957,00:01:02.2114908,00:03:03.3360271
222,2025-01-03 03:58:40,2025-01-03 04:18:28,00:19:48.9325217,00:01:46.9382957,00:03:33.2182867,00:01:29.5282806,00:02:17.4560022,00:01:44.3269210,00:00:33.8877439,00:01:33.8918892,00:00:48.5428750,00:00:58.2470685,00:01:44.1471195,00:01:02.0117659,00:02:16.7362735
223,2025-01-03 06:15:51,2025-01-03 06:53:10,,,,,,,,,,,,,
224,2025-01-04 04:02:48,2025-01-04 04:04:45,,,,,,,,,,,,,
225,2025-01-04 04:04:45,2025-01-04 04:08:14,,00:01:48.1915132,,,,,,,,,,,
226,2025-01-04 04:08:14,2025-01-04 04:14:09,,00:01:48.9857713,,,,,,,,,,,
227,2025-01-04 04:14:09,2025-01-04 04:31:51,,00:01:46.2215665,00:03:53.2611350,00:01:31.5661439,00:03:27.8935242,00:01:43.7681051,00:00:36.8172907,00:01:33.6572119,00:00:55.8827130,00:00:55.7295364,,,
228,2025-01-04 04:31:51,2025-01-04 04:37:19,,00:02:00.8371905,,,,,,,,,,,
229,2025-01-04 04:37:19,2025-01-04 04:46:00,,00:01:39.1994144,00:03:41.4140184,00:01:33.0999006,,,,,,,,,
