id,started,ended,realTime,BOB (1),WF (6),CCM (8),Dank (9),SSL (11),LLL (13),HMC (15),fingi,DDD (16),Fiah,Sky
145,2024-08-08 18:13:07,2024-08-08 18:13:15,,,,,,,,,,,,
146,2024-08-08 18:13:15,2024-08-08 18:22:24,,00:01:34.8648748,00:03:00.6761751,00:01:16.7174092,00:01:58.7470130,,,,,,,
147,2024-08-08 18:22:24,2024-08-08 18:24:00,,,,,,,,,,,,
148,2024-08-08 18:24:00,2024-08-08 18:27:43,,,,,,,,,,,,
149,2024-08-08 18:27:43,2024-08-08 18:29:25,,,,,,,,,,,,
150,2024-08-08 18:29:25,2024-08-08 18:31:46,,00:01:33.6039309,,,,,,,,,,
151,2024-08-08 18:31:46,2024-08-08 18:41:01,,00:01:34.7233558,00:02:52.8514228,00:01:20.8465137,00:01:52.8659868,,,,,,,
152,2024-08-08 18:41:01,2024-08-08 18:41:09,,,,,,,,,,,,
153,2024-08-08 18:41:09,2024-08-08 18:41:19,,,,,,,,,,,,
154,2024-08-08 18:41:19,2024-08-08 18:47:48,,00:01:33.7410397,00:02:54.4621081,00:01:16.2022929,,,,,,,,
155,2024-08-08 18:47:48,2024-08-08 18:50:47,,00:01:37.7542608,,,,,,,,,,
156,2024-08-08 18:50:47,2024-08-08 18:55:22,,00:01:34.5191672,,,,,,,,,,
157,2024-08-08 18:55:22,2024-08-08 19:04:27,,00:01:33.9870663,00:02:52.1277838,00:01:21.7537674,00:01:57.9511059,,,,,,,
158,2024-08-08 19:04:27,2024-08-08 19:06:00,,,,,,,,,,,,
159,2024-08-08 19:06:00,2024-08-08 19:08:33,,00:01:35.2920401,,,,,,,,,,
160,2024-08-08 19:08:33,2024-08-08 19:09:41,,,,,,,,,,,,
161,2024-08-08 19:09:41,2024-08-08 19:13:06,,,,,,,,,,,,
162,2024-08-08 19:13:06,2024-08-08 19:19:16,,00:01:34.2517847,,,,,,,,,,
163,2024-08-08 19:19:16,2024-08-08 19:25:07,,,,,,,,,,,,
164,2024-08-09 10:36:13,2024-08-09 10:37:15,,,,,,,,,,,,
165,2024-08-09 10:37:15,2024-08-09 10:37:23,,,,,,,,,,,,
166,2024-08-09 10:37:23,2024-08-09 10:37:31,,,,,,,,,,,,
167,2024-08-09 10:37:31,2024-08-09 10:39:55,,00:01:35.8757724,,,,,,,,,,
168,2024-08-09 10:39:55,2024-08-09 10:43:15,,00:01:33.9772473,,,,,,,,,,
169,2024-08-09 10:43:15,2024-08-09 10:44:48,,,,,,,,,,,,
170,2024-08-09 10:44:48,2024-08-09 10:45:50,,,,,,,,,,,,
171,2024-08-09 10:45:50,2024-08-09 10:48:15,,00:01:34.3987655,,,,,,,,,,
172,2024-08-09 10:48:15,2024-08-09 10:49:46,,,,,,,,,,,,
173,2024-08-09 10:49:46,2024-08-09 10:51:17,,,,,,,,,,,,
174,2024-08-09 10:51:17,2024-08-09 10:57:46,,00:01:34.5170361,00:02:54.7935518,00:01:17.3941520,,,,,,,,
175,2024-08-09 10:57:46,2024-08-09 11:00:10,,00:01:35.1021156,,,,,,,,,,
