id,started,ended,realTime,BOB (1),WF (6),CCM (8),BitDW (BOWSER),SSL (11),LLL (12),HMC (15),MIPS Clip,DDD (16),BitFS (BOWSER),BLJs,BitS
128,03/14/2025 08:19:43,03/14/2025 08:38:40,,00:01:38.5910510,00:03:17.9488218,00:01:40.3669150,00:02:05.6762982,00:01:29.5050978,00:00:35.2149047,00:01:23.7142797,00:00:50.0299236,00:00:49.6596327,00:01:37.7518710,00:01:06.4641735,
129,03/14/2025 08:38:40,03/14/2025 08:41:40,,00:01:51.7751031,,,,,,,,,,,
130,03/14/2025 08:41:40,03/14/2025 09:00:44,,00:01:38.5592733,00:03:22.3875718,00:01:30.3228676,00:02:21.3129336,00:01:26.8672851,00:00:33.5844872,00:01:24.8100611,00:00:43.8715603,00:00:58.8633247,00:01:53.3938119,00:01:06.1469808,
131,03/14/2025 09:00:44,03/14/2025 09:02:10,,,,,,,,,,,,,
132,03/14/2025 09:02:10,03/14/2025 09:03:19,,,,,,,,,,,,,
133,03/14/2025 09:03:19,03/14/2025 09:21:34,00:18:16.3882531,00:01:38.9273078,00:03:15.4648239,00:01:28.9487482,00:02:03.9193916,00:01:26.1602915,00:00:33.4237496,00:01:22.7886609,00:01:00.9282387,00:00:50.3578946,00:01:35.8338551,00:01:07.8128091,00:01:51.8224821
134,03/23/2025 04:26:48,03/23/2025 04:28:19,,,,,,,,,,,,,
135,03/23/2025 04:28:19,03/23/2025 04:31:45,,00:01:39.0377589,,,,,,,,,,,
136,03/27/2025 20:25:15,03/27/2025 20:33:29,,00:01:39.4511225,,,,,,,,,,,
137,03/27/2025 20:33:39,03/27/2025 20:49:13,,00:01:38.7260032,00:03:21.1948796,00:01:24.6234522,00:02:04.6250384,00:01:37.3018978,00:00:39.8533800,00:01:25.6738706,00:00:43.1739310,00:00:47.1846789,,,
138,03/27/2025 20:49:13,03/27/2025 20:50:51,,,,,,,,,,,,,
139,03/27/2025 20:50:51,03/27/2025 20:53:57,,00:01:47.5549366,,,,,,,,,,,
140,03/27/2025 20:53:57,03/27/2025 21:02:03,,00:01:38.8726894,00:03:24.5609550,00:01:23.6641832,,,,,,,,,
141,03/27/2025 21:02:07,03/27/2025 21:02:22,,,,,,,,,,,,,
142,03/27/2025 21:02:22,03/27/2025 21:03:26,,,,,,,,,,,,,
143,03/27/2025 21:03:26,03/27/2025 21:16:32,,00:01:38.1868241,00:03:27.8706736,00:01:33.7942642,00:02:05.3934145,00:01:39.2266534,00:00:33.3953512,00:01:24.7487103,,,,,
144,03/27/2025 21:26:34,03/27/2025 21:26:47,,,,,,,,,,,,,
145,03/27/2025 21:26:47,03/27/2025 21:30:13,,00:01:47.2632764,,,,,,,,,,,
146,03/27/2025 21:30:13,03/27/2025 21:38:10,,00:01:38.5349310,00:03:30.9899971,00:01:39.4684788,,,,,,,,,
147,03/27/2025 21:38:22,03/27/2025 21:40:25,,,,,,,,,,,,,
148,03/29/2025 06:04:29,03/29/2025 06:06:59,,,,,,,,,,,,,
149,03/29/2025 06:06:59,03/29/2025 06:09:43,,,,,,,,,,,,,
150,03/29/2025 06:09:43,03/29/2025 06:09:47,,,,,,,,,,,,,
151,03/29/2025 06:09:47,03/29/2025 06:13:06,,00:01:51.9485447,,,,,,,,,,,
152,03/29/2025 06:13:06,03/29/2025 06:22:26,,00:01:38.8793872,00:03:39.2087355,00:01:29.6643912,,,,,,,,,
153,03/29/2025 06:22:26,03/29/2025 06:25:25,,00:01:47.1954442,,,,,,,,,,,
154,03/29/2025 06:25:25,03/29/2025 06:33:24,,00:01:38.1195602,00:03:29.4218009,00:01:25.7272016,,,,,,,,,
155,03/29/2025 06:33:24,03/29/2025 06:42:36,,00:01:38.3239794,00:03:14.9386956,00:01:24.9427410,,,,,,,,,
156,03/29/2025 06:42:36,03/29/2025 06:46:52,,00:01:46.4726915,,,,,,,,,,,
157,03/29/2025 06:46:52,03/29/2025 06:51:06,,00:01:47.6729629,,,,,,,,,,,
158,03/29/2025 06:51:06,03/29/2025 07:08:36,,00:01:48.8696681,00:03:29.2612575,00:01:25.1983343,,,,,,,,,
159,03/29/2025 07:08:36,03/29/2025 07:10:32,,,,,,,,,,,,,
160,03/29/2025 07:10:32,03/29/2025 07:25:22,,00:01:39.0269585,00:03:20.7196679,00:01:24.3174371,00:02:02.1337937,00:01:26.1324644,00:00:37.2104756,00:01:31.5366973,00:00:45.9472720,00:00:50.5169982,,,
161,03/29/2025 07:25:22,03/29/2025 07:26:28,,,,,,,,,,,,,
162,03/29/2025 07:26:28,03/29/2025 07:38:24,,00:01:48.2291375,00:03:21.1988576,00:01:26.5358760,00:02:09.0760527,00:01:29.1880753,00:00:34.3994390,,,,,,
163,03/29/2025 07:38:24,03/29/2025 07:53:22,,00:01:39.0564151,00:03:24.9044125,00:01:24.2642428,00:02:05.1598778,00:01:28.0876032,00:00:34.2766885,00:01:22.2316835,00:00:53.9775879,00:00:45.8939965,,,
164,03/30/2025 06:03:10,03/30/2025 06:05:16,,00:01:56.0563651,,,,,,,,,,,
165,03/30/2025 06:05:16,03/30/2025 06:13:06,,00:01:39.5048601,00:03:17.4103708,00:01:27.2633576,,,,,,,,,
166,03/30/2025 06:13:06,03/30/2025 06:36:48,,00:01:48.1100842,00:03:10.8755956,00:01:25.2461512,00:02:31.6612319,00:01:26.2548737,00:00:33.4645529,00:01:23.9780859,00:00:54.2315997,00:00:46.3237046,00:02:05.7334457,00:01:21.5399331,
167,03/30/2025 06:36:48,03/30/2025 06:56:39,00:19:52.2205830,00:01:37.9830533,00:03:16.4567077,00:01:24.9203058,00:02:26.1829440,00:01:26.7090010,00:00:34.2819492,00:01:20.3397786,00:00:43.8660210,00:00:47.4786506,00:02:12.8744014,00:01:17.1398998,00:02:43.9878706
168,03/30/2025 07:00:52,03/30/2025 07:01:57,,,,,,,,,,,,,
169,03/30/2025 07:01:57,03/30/2025 07:09:42,,00:01:37.5428870,00:03:28.7501686,00:01:24.4971200,,,,,,,,,
